,Unnamed: 0,accommodates,availability_30,bathrooms,bed_type,bedrooms,beds,calculated_host_listings_count,cancellation_policy,guests_included,has_availability,host_is_superhost,host_listings_count,instant_bookable,latitude(North),longitude(East),maximum_nights,number_of_reviews,property_type,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,price,amenities__Dryer,amenities__Other_pet(s),amenities__Carbon_Monoxide_Detector,amenities__,amenities__Iron,amenities__Elevator_in_Building,amenities__Cable_TV,amenities__Heating,amenities__Shampoo,amenities__Wireless_Internet,amenities__Dog(s),amenities__Doorman,amenities__24-Hour_Check-in,amenities__TV,amenities__First_Aid_Kit,amenities__Pets_live_on_this_property,amenities__Essentials,amenities__Laptop_Friendly_Workspace,amenities__Hair_Dryer,amenities__Gym,amenities__Safety_Card,amenities__Pool,amenities__Internet,amenities__Kitchen,amenities__Pets_Allowed,amenities__Buzzer/Wireless_Intercom,amenities__Breakfast,amenities__Washer_/_Dryer,amenities__Suitable_for_Events,amenities__Free_Parking_on_Premises,amenities__Lock_on_Bedroom_Door,amenities__Washer,amenities__Hot_Tub,amenities__Cat(s),amenities__Air_Conditioning,amenities__Indoor_Fireplace,amenities__Smoke_Detector,amenities__Wheelchair_Accessible,amenities__Family/Kid_Friendly,amenities__Fire_Extinguisher,amenities__Hangers,amenities__Smoking_Allowed,Cluster_Lon_Lat
0,0,6,0,2,Real Bed,1,3,1,moderate,1,t,f,1,f,22.5429,114.0596,10,1,House,10,10,10,100,10,Private room,300,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1
1,1,2,29,0,Futon,1,1,1,moderate,1,t,f,1,f,22.53949026,114.0432254,7,0,Camper/RV,9,9,9,95,9,Private room,99,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
2,2,2,30,1,Real Bed,1,1,2,flexible,1,t,f,2,f,22.50857255,114.079426,1125,0,House,10,9,10,90,9,Private room,100,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1
3,3,2,30,1,Real Bed,1,1,2,flexible,1,t,f,2,f,22.50869749,114.0790348,1125,0,House,10,10,10,96,9,Private room,100,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1
4,4,6,27,2,Real Bed,3,3,2,strict,1,t,f,301,f,22.50950177,114.0555903,1125,0,House,8,9,8,87,8,Entire home/apt,599,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1
5,5,2,30,1,Real Bed,1,1,1,flexible,1,t,f,1,f,22.52683988,114.036466,1125,0,House,10,10,10,100,10,Private room,100,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
6,6,2,0,1,Futon,1,1,1,flexible,2,t,f,1,f,22.52777147,114.0236918,1125,0,Bed & Breakfast,9,10,8,67,7,Private room,54,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
7,7,2,16,1,Real Bed,1,1,1,moderate,2,t,f,1,t,22.52325961,114.0529223,7,2,House,10,10,10,100,10,Private room,40,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1
8,8,6,29,1,Real Bed,1,3,1,flexible,2,t,f,2,t,22.52936805,114.0745361,1125,0,House,10,10,10,100,10,Private room,130,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
9,9,2,29,1,Real Bed,1,1,1,moderate,2,t,t,1,f,22.51049991,114.0739115,1125,20,House,10,10,10,99,10,Private room,44,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1
